time,value
2025-04-13T00:23:35.120284376Z,54
2025-04-13T00:23:35.638532644Z,55
2025-04-13T00:23:36.203500952Z,56
2025-04-13T00:23:36.88225965Z,60
2025-04-13T00:23:37.466382136Z,58
2025-04-13T00:23:37.97941864Z,55
2025-04-13T00:23:38.563975849Z,54
2025-04-13T00:23:39.336087131Z,55
2025-04-13T00:23:39.871416573Z,54
2025-04-13T00:23:40.359479656Z,55
2025-04-13T00:23:40.939158352Z,54
2025-04-13T00:23:43.423480124Z,53
2025-04-13T00:23:45.071606165Z,54
2025-04-13T00:23:45.65444421Z,53
2025-04-13T00:23:49.577377816Z,54
2025-04-13T00:23:50.092649019Z,53
2025-04-13T00:24:14.559486022Z,54
2025-04-13T00:24:15.144342462Z,53
2025-04-13T00:24:45.167737689Z,52
2025-04-13T00:24:45.846196758Z,53
2025-04-13T00:24:47.207556649Z,52
2025-04-13T00:24:47.883700265Z,53
2025-04-13T00:24:48.961351762Z,52
2025-04-13T00:24:50.41785436Z,53
2025-04-13T00:24:50.997340881Z,52
2025-04-13T00:24:52.242212569Z,53
2025-04-13T00:24:52.757279189Z,52
2025-04-13T00:24:54.494473059Z,53
2025-04-13T00:24:55.09860247Z,52
2025-04-13T00:24:56.134521319Z,53
2025-04-13T00:24:56.75940009Z,52
2025-04-13T00:24:57.743982806Z,53
2025-04-13T00:24:58.307573329Z,52
2025-04-13T00:24:59.037834855Z,53
2025-04-13T00:24:59.606632177Z,52
2025-04-13T00:25:02.283330304Z,53
2025-04-13T00:25:02.797854659Z,52
2025-04-13T00:25:05.766672752Z,53
2025-04-13T00:25:06.350836683Z,52
2025-04-13T00:25:06.88169841Z,53
2025-04-13T00:25:07.478563336Z,52
2025-04-13T00:25:08.423713824Z,53
2025-04-13T00:25:09.047362589Z,52
2025-04-13T00:25:10.395242412Z,53
2025-04-13T00:25:10.909923687Z,52
2025-04-13T00:25:11.496870049Z,53
2025-04-13T00:25:12.079036036Z,52
2025-04-13T00:25:13.064322174Z,53
2025-04-13T00:25:13.649905072Z,52
2025-04-13T00:25:14.619372366Z,53
2025-04-13T00:25:15.880455345Z,52
2025-04-13T00:25:16.464460327Z,53
2025-04-13T00:25:18.316472397Z,52
2025-04-13T00:25:18.901944053Z,53
2025-04-13T00:27:24.283352223Z,52
2025-04-13T00:27:28.30087978Z,53
2025-04-13T00:27:28.887767263Z,52
2025-04-13T00:27:29.943374642Z,53
2025-04-13T00:27:30.45576404Z,52
2025-04-13T00:27:32.21230733Z,53
2025-04-13T00:27:32.795290033Z,52
2025-04-13T00:27:34.040272372Z,53
2025-04-13T00:27:34.572007855Z,52
2025-04-13T00:27:36.324193184Z,53
2025-04-13T00:27:37.005155397Z,52
2025-04-13T00:27:38.379810315Z,53
2025-04-13T00:27:38.963531971Z,52
2025-04-13T00:27:40.619503901Z,53
2025-04-13T00:27:41.211192461Z,52
2025-04-13T00:27:42.847630879Z,53
2025-04-13T00:27:43.428693228Z,52
2025-04-13T00:28:04.803232932Z,53
2025-04-13T00:28:05.399215417Z,52
2025-04-13T00:28:07.423136601Z,53
2025-04-13T00:28:08.007149026Z,52
2025-04-13T00:28:08.918027825Z,53
2025-04-13T00:28:09.499232129Z,52
2025-04-13T00:28:10.659496142Z,53
2025-04-13T00:28:11.189706936Z,52
