time,value
2025-04-13T00:38:13.792794531Z,27
2025-04-13T00:38:15.868396468Z,26
2025-04-13T00:38:17.965994238Z,27
2025-04-13T00:38:20.044855183Z,26
2025-04-13T00:39:19.744304127Z,27
2025-04-13T00:39:21.818305586Z,26
2025-04-13T00:39:28.025783587Z,27
2025-04-13T00:39:30.106954907Z,26
2025-04-13T00:39:32.187922374Z,27
2025-04-13T00:39:34.260007022Z,26
2025-04-13T00:39:36.335778493Z,27
2025-04-13T00:39:38.336119204Z,26
2025-04-13T00:40:58.798577409Z,27
2025-04-13T00:41:08.83759506Z,27
2025-04-13T00:41:18.867021771Z,27
2025-04-13T00:41:28.893920865Z,27
2025-04-13T00:41:38.935224867Z,27
2025-04-13T00:41:48.943140991Z,27
2025-04-13T00:42:01.766756981Z,27
2025-04-13T00:42:11.926775562Z,82
2025-04-13T00:42:21.965509605Z,80
2025-04-13T00:42:32.013639263Z,77
2025-04-13T00:42:42.089817186Z,74
2025-04-13T00:42:52.145582828Z,70
2025-04-13T00:43:02.19972201Z,67
2025-04-13T00:43:12.271829975Z,65
2025-04-13T00:43:22.279672699Z,62
2025-04-13T00:43:32.33430046Z,58
2025-04-13T00:43:42.4095723Z,54
2025-04-13T00:43:52.457459902Z,51
2025-04-13T00:44:02.497729004Z,48
2025-04-13T00:44:12.567564076Z,46
2025-04-13T00:44:22.622020262Z,44
2025-04-13T00:44:32.668126408Z,42
2025-04-13T00:44:42.696033337Z,41
2025-04-13T00:44:52.756089066Z,39
2025-04-13T00:45:02.812058904Z,38
2025-04-13T00:45:12.864103216Z,37
2025-04-13T00:45:22.909106349Z,37
2025-04-13T00:45:32.968568165Z,36
2025-04-13T00:45:43.017219145Z,35
2025-04-13T00:45:53.062466903Z,35
2025-04-13T00:46:03.119118839Z,34
2025-04-13T00:46:13.167917186Z,34
2025-04-13T00:46:23.210634746Z,33
2025-04-13T00:46:33.261574434Z,33
2025-04-13T00:46:43.331213514Z,33
2025-04-13T00:46:53.399219611Z,32
2025-04-13T00:47:03.473463995Z,32
2025-04-13T00:47:13.550415517Z,32
2025-04-13T00:47:23.598275669Z,32
2025-04-13T00:47:33.64137672Z,32
2025-04-13T00:47:43.696565565Z,32
2025-04-13T00:47:53.719451997Z,31
2025-04-13T00:48:03.72894381Z,31
2025-04-13T00:48:13.739092716Z,31
2025-04-13T00:48:23.749221546Z,31
2025-04-13T00:48:33.761606546Z,31
2025-04-13T00:48:43.805880734Z,31
2025-04-13T00:48:53.811723367Z,31
2025-04-13T00:49:03.890307233Z,31
2025-04-13T00:49:13.928454978Z,30
2025-04-13T00:49:23.95431308Z,30
2025-04-13T00:49:33.963365623Z,30
2025-04-13T00:49:44.005352811Z,30
2025-04-13T00:49:54.019061898Z,30
2025-04-13T00:50:04.093351238Z,30
2025-04-13T00:50:14.129868976Z,30
2025-04-13T00:50:24.19096893Z,30
2025-04-13T00:50:34.197711102Z,30
2025-04-13T00:50:44.250794902Z,30
2025-04-13T00:50:54.287788058Z,30
2025-04-13T00:51:04.339619303Z,30
2025-04-13T00:51:14.376825062Z,29
2025-04-13T00:51:24.417626747Z,30
2025-04-13T00:51:34.44637061Z,29
2025-04-13T00:51:44.485742081Z,29
2025-04-13T00:51:54.529743846Z,29
2025-04-13T00:52:04.551024811Z,29
2025-04-13T00:52:14.593998808Z,29
2025-04-13T00:52:24.612197945Z,29
2025-04-13T00:52:34.656175458Z,29
2025-04-13T00:52:44.717387946Z,29
2025-04-13T00:52:54.748977159Z,29
2025-04-13T00:53:04.787121064Z,29
2025-04-13T00:53:14.825077759Z,29
2025-04-13T00:53:24.863220109Z,29
2025-04-13T00:53:34.899396722Z,29
2025-04-13T00:53:44.959071894Z,29
2025-04-13T00:53:55.015495933Z,29
2025-04-13T00:54:05.055646046Z,29
2025-04-13T00:54:15.113143717Z,28
2025-04-13T00:54:25.167856111Z,29
2025-04-13T00:54:35.197247173Z,28
2025-04-13T00:54:45.255667299Z,28
2025-04-13T00:54:55.295765503Z,28
2025-04-13T00:55:05.34019635Z,28
2025-04-13T00:55:15.383265917Z,28
2025-04-13T00:55:25.40201147Z,28
2025-04-13T00:55:35.440438985Z,28
2025-04-13T00:55:45.497813738Z,28
2025-04-13T00:55:55.502954142Z,28
2025-04-13T00:56:05.53829722Z,28
2025-04-13T00:56:15.590730178Z,28
2025-04-13T00:56:25.641695975Z,28
2025-04-13T00:56:35.681356468Z,28
2025-04-13T00:56:45.707766963Z,28
2025-04-13T00:56:55.77365544Z,28
2025-04-13T00:57:05.814145367Z,28
2025-04-13T00:57:15.843644896Z,28
2025-04-13T00:57:25.892290209Z,28
2025-04-13T00:57:35.95241649Z,28
2025-04-13T00:57:45.992859501Z,28
2025-04-13T00:57:56.028137303Z,28
2025-04-13T00:58:06.08004115Z,28
2025-04-13T00:58:16.160303062Z,28
2025-04-13T00:58:26.227900349Z,28
2025-04-13T00:58:36.290399175Z,28
