Timestamp,Value,Type
12:44:07 AM.417,"\u0002*\n",received
12:44:07 AM.417,"Soil Moisture: 52.00 %\r\n",received
12:44:07 AM.504,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:07 AM.504,"Soil Moisture: 52.00 %\r\n",received
12:44:07 AM.601,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:07 AM.601,"Soil Moisture: 52.00 %\r\n",received
12:44:07 AM.695,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:07 AM.695,"Soil Moisture: 52.00 %\r\n",received
12:44:07 AM.780,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:07 AM.780,"Soil Moisture: 52.00 %\r\n",received
12:44:07 AM.872,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:07 AM.872,"Soil Moisture: 52.00 %\r\n",received
12:44:07 AM.969,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:07 AM.969,"Soil Moisture: 53.00 %\r\n",received
12:44:08 AM.80,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:08 AM.80,"Soil Moisture: 53.00 %\r\n",received
12:44:08 AM.184,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:08 AM.184,"Soil Moisture: 52.00 %\r\n",received
12:44:08 AM.256,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:08 AM.256,"Soil Moisture: 52.00 %\r\n",received
12:44:08 AM.374,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:08 AM.374,"Soil Moisture: 52.00 %\r\n",received
12:44:08 AM.448,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:08 AM.448,"Soil Moisture: 52.00 %\r\n",received
12:44:08 AM.544,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:08 AM.544,"Soil Moisture: 52.00 %\r\n",received
12:44:08 AM.656,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:08 AM.656,"Soil Moisture: 53.00 %\r\n",received
12:44:08 AM.736,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:08 AM.736,"Soil Moisture: 52.00 %\r\n",received
12:44:08 AM.832,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:08 AM.832,"Soil Moisture: 52.00 %\r\n",received
12:44:08 AM.928,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:08 AM.928,"Soil Moisture: 52.00 %\r\n",received
12:44:09 AM.24,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:09 AM.24,"Soil Moisture: 52.00 %\r\n",received
12:44:09 AM.137,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:09 AM.137,"Soil Moisture: 52.00 %\r\n",received
12:44:09 AM.246,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:09 AM.246,"Soil Moisture: 52.00 %\r\n",received
12:44:09 AM.328,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:09 AM.328,"Soil Moisture: 52.00 %\r\n",received
12:44:09 AM.408,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:09 AM.408,"Soil Moisture: 52.00 %\r\n",received
12:44:09 AM.504,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:09 AM.504,"Soil Moisture: 52.00 %\r\n",received
12:44:09 AM.600,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:09 AM.600,"Soil Moisture: 52.00 %\r\n",received
12:44:09 AM.696,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:09 AM.696,"Soil Moisture: 52.00 %\r\n",received
12:44:09 AM.776,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:09 AM.776,"Soil Moisture: 52.00 %\r\n",received
12:44:09 AM.872,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:09 AM.872,"Soil Moisture: 52.00 %\r\n",received
12:44:09 AM.970,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:09 AM.970,"Soil Moisture: 52.00 %\r\n",received
12:44:10 AM.64,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:10 AM.64,"Soil Moisture: 52.00 %\r\n",received
12:44:10 AM.144,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:10 AM.144,"Soil Moisture: 52.00 %\r\n",received
12:44:10 AM.240,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:10 AM.240,"Soil Moisture: 52.00 %\r\n",received
12:44:10 AM.336,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:10 AM.336,"Soil Moisture: 52.00 %\r\n",received
12:44:10 AM.432,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:10 AM.432,"Soil Moisture: 53.00 %\r\n",received
12:44:10 AM.544,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:10 AM.544,"Soil Moisture: 53.00 %\r\n",received
12:44:10 AM.624,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:10 AM.624,"Soil Moisture: 53.00 %\r\n",received
12:44:10 AM.720,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:10 AM.720,"Soil Moisture: 52.00 %\r\n",received
12:44:10 AM.816,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:10 AM.816,"Soil Moisture: 52.00 %\r\n",received
12:44:10 AM.913,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:10 AM.913,"Soil Moisture: 52.00 %\r\n",received
12:44:10 AM.993,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:10 AM.993,"Soil Moisture: 52.00 %\r\n",received
12:44:11 AM.104,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:11 AM.104,"Soil Moisture: 53.00 %\r\n",received
12:44:11 AM.234,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:11 AM.234,"Soil Moisture: 52.00 %\r\n",received
12:44:11 AM.314,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:11 AM.314,"Soil Moisture: 52.00 %\r\n",received
12:44:11 AM.409,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:11 AM.409,"Soil Moisture: 52.00 %\r\n",received
12:44:11 AM.506,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:11 AM.506,"Soil Moisture: 52.00 %\r\n",received
12:44:11 AM.602,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:11 AM.602,"Soil Moisture: 52.00 %\r\n",received
12:44:11 AM.697,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:11 AM.697,"Soil Moisture: 52.00 %\r\n",received
12:44:11 AM.777,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:11 AM.777,"Soil Moisture: 52.00 %\r\n",received
12:44:11 AM.874,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:11 AM.874,"Soil Moisture: 52.00 %\r\n",received
12:44:11 AM.969,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:11 AM.969,"Soil Moisture: 52.00 %\r\n",received
12:44:12 AM.48,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:12 AM.48,"Soil Moisture: 52.00 %\r\n",received
12:44:12 AM.144,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:12 AM.144,"Soil Moisture: 52.00 %\r\n",received
12:44:12 AM.241,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:12 AM.241,"Soil Moisture: 52.00 %\r\n",received
12:44:12 AM.337,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:12 AM.337,"Soil Moisture: 52.00 %\r\n",received
12:44:12 AM.432,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:12 AM.432,"Soil Moisture: 52.00 %\r\n",received
12:44:12 AM.512,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:12 AM.512,"Soil Moisture: 52.00 %\r\n",received
